ref	barcode	numReads	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43
slow	nnnnonnnnnnnnnnnnnnnnnnnnnnnnnnnoooonnnnnnn	2676	74	94	124	160	0	177	86	95	84	146	205	96	77	59	98	107	162	207	222	88	95	120	123	79	56	150	191	228	219	145	147	78	0	0	0	0	63	106	160	167	135	198	141
fast	nnnnonnnnnnnnnnnnnnnnnnnnnnnnnnnoooonnnnnnn	2661	74	88	124	158	0	173	86	93	80	145	205	96	75	59	96	104	161	205	221	87	95	120	123	78	56	147	190	225	217	144	142	75	0	0	0	0	63	103	157	166	129	197	136
fqFast	nnnnonnnnnnnnnnnnnnnnnnnnnnnnnnnoooonnnnnnn	2871	75	90	127	163	0	180	88	99	80	152	213	99	78	62	96	110	167	206	242	130	142	133	130	80	59	152	195	229	220	151	150	80	0	0	0	0	68	107	167	173	133	199	138
old	nnnnonnnnnnnnnnnnnnnnnnnnnnnnnnnoooonnnnnnn	2661	276	300	468	576	0	621	300	315	276	522	762	315	252	222	357	348	618	702	774	294	351	435	432	261	195	525	708	780	723	507	486	270	0	0	0	0	213	366	567	573	465	690	480
